87	Reja	Starosielce	Węgierska, Grzybowskiego
88	Rzymowskiego	Nowe Miasto	Żeromskiego, Paderewskiego
89	Sandomierska	Wygoda	Wasilkowska, Krańcowa
90	Saska	Mickiewicza	Mickiewicza, Jagiellońska
91	Scaleniowa	Wysoki Stoczek	Konstytucji 3 Maja, Rzemieślnicza
92	Serwisowa	Leśna Dolina	Elewatorska, bez wylotu
93	Skidelska	Białostoczek	1000lecia PP, Wileńska
94	Sławińskiego	Nowe Miasto	Żeromskiego, Ciołkowskiego
95	Spokojna	Młodych	Marczukowska, Konduktorska
96	Strusia	Dojlidy	Ciołkowskiego, Sokoła
97	Sucha	Piaski, Centrum	Legionowa, bez wylotu
98	Sympatyczna	Leśna Dolina	Bacieczki, Boboli
99	Szarych Szeregów	Leśna Dolina	Armii Krajowej, Boboli
100	Szczygła	Bojary	Słonimska, bez wylotu
101	Śląska	Mickiewicza	Jagiellońska, Ciołkowskiego
102	Świętokrzyska	Antoniuk	Antoniukowska, Maczka
103	Tetmajera	Bacieczki	Bacieczki, Strażacka
104	Tęczowa	Bema	Bema, Zdrojowa
105	Turowskiego	Starosielce	Węgierska, Troczewskiego
106	Ubocze	Zielone Wzgórze, Leśna Dolina	Rybnicka, Popiełuszki
107	Wallenroda	Pietrasze	Gedymina, płk. Geplińskiego (Gaskiewicza)
108	Wapienna	Ścienna, Bażantarnia	Starosielce, Łodzińskiego
109	Warneńczyka	Pietrasze	Jagiełły, Andersa
110	Wąska	Sienkiewicza, Wygoda	Jagienki, Andersa
111	Widok	Antoniuk	Wiatrakowa, bez wylotu
112	Wiedeńska	Zielone Wzgórze	Lawendowa, Szkolna
113	Witebska	Śródmieście	Młynowa, Bema, Kopernika
114	Wołyńska	Skorupy, Piasta	Nowowarszawska, Piasta
115	Wróbla	Bojary	Kraszewskiego, Słonimska
116	Wspaniała	Zawady	Sapiehy, Zamoyskiego
117	Wysoka	Antoniuk	Wiatrakowa, bez wylotu
118	Zachodnia	Nowe Miasto	Wiejska, Pułaskiego
119	Zakątek	Bażantarnia	Obożna, Ścianka/Hajduka
120	Zamojskiego	Zawady	Śnieżna – Wspaniała, Lodowa
121	Zaułek Kłodzki	Skorupy	Nowowarszawska, Lubuska
122	Zaułek Olsztyński	Skorupy	Baranowicka, bez wylotu
123	Zgoda	Zgoda	Raginisa, Wysockiego
124	Zielna	Kawaleryjska	Ułańska, Kręta
125	Zielone Wzgórze	Antoniuk	Wiatrakowa, bez wylotu
126	Zygmunta Starego	Pietrasze	Kościńskiego, Gedymina
127	Żniwna	Wygoda	Siewna, bez wylotu
128	Żubrów	Dojlidy	Wilcza, Niedźwiedzia
